route,M1,M2,M4,M5,M6,M8,M10,12,M13,16,M17,18,21,27,37,50,60,61,62,63,67,68
M1,,,,1,,1,1,1,1,,,,,,,1,,,,,,
M2,,,1,1,1,1,1,1,1,,,,,,,,,,,,,
M4,,1,,1,1,1,1,1,1,,,,,1,,,,,,,,
M5,1,1,1,,1,1,1,,1,1,1,,,,,,,,,,,
M6,,1,1,1,,1,1,,1,1,1,1,,1,,,,,,,,
M8,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,,,
M10,1,1,1,1,1,1,,1,1,,,,1,,,,,,,,,
12,1,1,1,,,1,1,,,,,,,1,,,,,,,,
M13,1,1,1,1,1,1,1,,,1,,,1,,,1,,,,,,
16,,,,1,1,1,,,1,,1,,1,1,,,,,,,,
M17,,,,1,1,1,,,,1,,,1,1,1,,1,,,,1,
18,,,,,1,1,,,,,,,,,,,,,,,,
21,,,,,,1,1,,1,1,1,,,1,1,,1,,,,1,
27,,,,,1,1,,1,,1,1,,1,,1,,1,,,,1,
37,,,,,,1,,,,,1,,1,1,,,1,,,,1,
50,1,,,,,,,,1,,,,,,,,,,,,,
60,,,,,,,,,,,1,,1,1,1,,,1,1,1,1,1
61,,,,,,,,,,,,,,,,,1,,1,1,1,1
62,,,,,,,,,,,,,,,,,1,1,,1,1,1
63,,,,,,,,,,,,,,,,,1,1,1,,1,1
67,,,,,,,,,,,1,,1,1,1,,1,1,1,1,,1
68,,,,,,,,,,,,,,,,,1,1,1,1,1,
